main_site,other_site,year,convergence_correlation
4,54,1,0.7058713267290142
4,54,2,-0.14356943366257713
4,54,3,-0.0328878955781548
4,55,1,0.2749999341491479
4,55,2,-0.07482371040355189
4,55,3,0.02328420881913875
4,57,1,0.01380922448044019
4,57,2,0.05467710042032346
4,57,3,-0.024397107282861312
4,60,1,0.20530073533014637
5,6,1,0.540903608780885
5,6,2,0.09188034048564774
5,9,1,-0.07092292545100194
5,9,2,-0.031564191838551615
5,9,3,-0.04408208919613018
5,10,1,-0.11565165396073121
5,10,2,0.1525186451414871
5,10,3,0.16225999435384578
5,11,1,0.10493766637661378
5,11,2,-0.03911611338342533
5,11,3,0.04525383349974372
5,12,1,-0.04720108163478196
5,12,2,-0.009235795425074706
5,13,1,0.007378988541757497
5,13,2,0.013238940081312111
5,13,3,-0.14346396224156527
5,23,1,-0.22315958717981735
5,24,1,-0.09981021784544891
5,24,2,0.06637848579198462
5,25,1,0.08878997778550052
5,25,2,-0.04265809487205488
5,26,1,0.03788685978896686
5,27,1,-0.07746087774061251
5,27,2,-0.037318391417278975
5,27,3,-0.00788556300720154
5,27,5,-0.006735444302941248
5,28,1,-0.1338863164386363
5,28,2,-0.04545198150193863
5,28,3,-0.20244068882160207
5,32,1,0.6021850320913144
5,32,2,0.15235638308425883
5,32,3,-0.026866572559559338
5,33,1,0.024574557054171667
5,33,2,0.05831190816042902
5,37,1,-0.08811549173164118
5,42,1,0.3134741862367424
5,42,2,-0.050623313836343053
5,42,3,-0.1909140730185372
5,42,5,-0.0330453304907914
5,43,1,0.5575005436642244
5,43,2,-0.05109919187814011
5,43,3,-0.2913771776432407
5,45,1,0.284140759135876
5,45,2,0.25377852358230907
5,45,3,-0.24957931568597777
5,45,5,6.162893397341125e-05
5,46,1,0.5402526525721753
5,46,2,-0.046038528963408126
5,46,3,0.020960345311959287
5,46,5,0.014607089872296971
5,48,1,-0.16522759462543174
5,48,3,0.025454071084323567
5,49,1,0.4344458275519475
5,49,2,-0.09812585986327298
5,52,1,0.10260269223468453
5,52,2,0.012202714361004641
5,52,3,-0.06354620718807975
5,53,1,0.30404872171822117
5,53,2,-0.020163175717739328
5,53,3,0.03317618041470954
5,54,1,0.599469781995287
5,54,2,0.006447149225347625
5,54,3,0.008331480122291962
5,55,1,0.26035234506830435
5,55,2,-0.028055194932819345
5,55,3,-0.11841899409364294
5,55,5,0.008220151070524534
5,57,1,0.00011945043158127276
5,57,2,0.09190615521607176
5,57,3,0.07464195130388679
5,57,5,-0.03705824807200008
5,60,1,0.18423886446410478
6,9,1,0.009763311596742909
6,9,2,-0.00419205379182894
6,10,1,-0.04832445841185973
6,10,2,0.08796580358099888
6,11,1,0.12865843086758427
6,11,2,-0.0848193221424663
6,12,1,-0.018929450086643058
6,12,2,-0.010941043144704548
6,13,1,0.05841091886070996
6,13,2,0.020732346147123576
6,23,1,-0.16824501008731527
6,24,1,-0.03763348458981392
6,24,2,0.02306149018731541
6,25,1,0.11384858859023536
6,25,2,-0.04409580346134621
6,26,1,0.040603488117693286
6,27,1,-0.04575506323065456
6,27,2,-0.06795121154415482
6,28,1,-0.04714587489802676
6,28,2,-0.01588272373727824
6,32,1,0.48885720803033883
6,32,2,0.19899168402775252
6,33,1,0.05014641088782736
6,33,2,0.026267332315384657
6,37,1,-0.024197649771756473
6,42,1,0.3104368518078692
6,42,2,-0.1185287416520083
6,43,1,0.449400496383478
6,43,2,0.2569070293531214
6,45,1,0.37121582919422025
6,45,2,0.2481176050257413
6,46,1,0.5136708732015579
6,46,2,-0.165448558610598
6,48,1,-0.1292517190713565
6,49,1,0.4436414171249305
6,49,2,-0.15334016684995594
6,52,1,0.13633544315745597
6,52,2,0.008135980289486944
6,53,1,0.26671294131423234
6,53,2,-0.02490745115874081
6,54,1,0.5204123928346984
6,54,2,-0.10325333609018353
6,55,1,0.231215410470982
6,55,2,-0.0816791221158289
6,57,1,0.07963190181880729
6,57,2,0.03714902173294899
6,60,1,0.16356739132583617
9,10,1,0.20675508059755804
9,10,2,-0.03492355339677589
9,10,3,0.0062041931285304495
9,11,1,0.12647938675930273
9,11,2,0.02858804976610995
9,11,3,-0.01639367683001831
9,12,1,0.16387019551177678
9,12,2,-0.015499176907123944
9,13,1,0.13723918332532267
9,13,2,0.0048023415764471495
9,13,3,0.022858685674447494
9,23,1,0.08109270938731436
9,24,1,0.1773028865627768
9,24,2,0.009532957015781506
9,25,1,0.12699691147709108
9,25,2,0.01624638926679209
9,26,1,0.0033066564546719336
9,27,1,0.04043390364508967
9,27,2,-0.009448489626445039
9,27,3,-0.006330709155047421
9,28,1,0.21021163998178877
9,28,2,0.028376897645044103
9,28,3,0.018246937349423356
9,32,1,-0.28103554914614354
9,32,2,-0.0056298098446409565
9,32,3,-2.8881798531272342e-05
9,33,1,0.049363435088548596
9,33,2,-0.010860570975012616
9,37,1,0.24590822308237983
9,42,1,0.010039568714076503
9,42,2,0.008180429536455064
9,42,3,0.008326473092479978
9,43,1,-0.184393437994402
9,43,2,-0.01473104086301759
9,43,3,0.00717090087842019
9,45,1,0.20532951107052494
9,45,2,-0.027307592168445194
9,45,3,0.012105118896144724
9,46,1,0.062006090638996564
9,46,2,0.0272410086969045
9,46,3,-0.002939445642166979
9,48,1,0.07036227457217584
9,48,3,0.006075461999025636
9,49,1,-0.05514730021167689
9,49,2,0.03310484541293265
9,52,1,0.08096040256548707
9,52,2,-0.008099119973666257
9,52,3,0.022375264962498302
9,53,1,-0.031172467860279433
9,53,2,-0.0025213953984471855
9,53,3,0.0036849632249643383
9,54,1,-0.14467631735742906
9,54,2,0.03692573548349916
9,54,3,-0.0014173494556799196
9,55,1,-0.06325416349622845
9,55,2,-0.006793706818202651
9,55,3,-0.009396585825575404
9,57,1,0.23920938896502195
9,57,2,-0.032071129999697426
9,57,3,-0.02959146303923506
9,60,1,-0.03438074004924581
10,11,1,0.060193094257307796
10,11,2,-0.03644453294629362
10,11,3,0.07402625960766485
10,12,1,0.07364766480112703
10,12,2,0.016230402906397733
10,13,1,0.12188845736838969
10,13,2,0.04060593441843958
10,13,3,-0.009403250878577176
10,23,1,0.0904023191660942
10,24,1,0.12994847157400993
10,24,2,-0.02139011014964711
10,25,1,0.03261626934644374
10,25,2,0.014550492190977838
10,26,1,0.066368363953154
10,27,1,0.030961349968119743
10,27,2,-0.017027859863745366
10,27,3,0.0026622215682910646
10,28,1,0.1495817896257648
10,28,2,0.037208076728588904
10,28,3,0.01995702945292295
10,32,1,-0.2051959688425942
10,32,2,0.036409153769959825
10,32,3,0.0873608681472936
10,33,1,0.021628702891030815
10,33,2,0.022447246593947753
10,37,1,0.18770842970618512
10,42,1,0.014546379013138596
10,42,2,0.002123239570898755
10,42,3,-0.0337404176698672
10,43,1,-0.12451688136073907
10,43,2,0.026499626354073807
10,43,3,-0.1330505786496215
10,45,1,0.0846728446898605
10,45,2,0.07329242429822404
10,45,3,-0.08357792647769088
10,46,1,0.006680158824190671
10,46,2,-0.013413754658917098
10,46,3,0.007625943146895779
10,48,1,0.03376711532739449
10,48,3,4.354218049248109e-05
10,49,1,-0.07384875156385845
10,49,2,-0.04065306805000306
10,52,1,-0.04235172475781192
10,52,2,0.013783799811141672
10,52,3,-0.03127637459224815
10,53,1,-0.08599489720896435
10,53,2,0.07456874732418498
10,53,3,-0.014705253959674187
10,54,1,-0.11655923124376713
10,54,2,-0.03569252509162547
10,54,3,0.026110338481800142
10,55,1,-0.10227821203165008
10,55,2,2.282197747968083e-05
10,55,3,-0.009673081866732554
10,57,1,0.17293003839842702
10,57,2,0.052882036576619114
10,57,3,0.01458264044575601
10,60,1,-0.04386321706681932
11,12,1,0.06046624652232464
11,12,2,-0.0010734142455889953
11,13,1,0.08860140215390294
11,13,2,-0.028421690348419144
11,13,3,-0.002515941828730639
11,23,1,-0.0055069121952169625
11,24,1,0.08113494799597427
11,24,2,0.01597140048932425
11,25,1,0.08975677907716102
11,25,2,0.018155927592763802
11,26,1,0.014266658479085625
11,27,1,0.015177151504005755
11,27,2,0.03694676431408178
11,27,3,0.006895943093145061
11,28,1,0.05995481699449421
11,28,2,0.01778416265547368
11,28,3,-0.008376165545223989
11,32,1,0.024017623960867273
11,32,2,-0.034046468526481154
11,32,3,-0.0014690334696855383
11,33,1,0.017465009430301996
11,33,2,-0.030950663879323256
11,37,1,0.10372920785780056
11,42,1,0.10421470685942436
11,42,2,0.039367443902498224
11,42,3,-0.0020564001249629223
11,43,1,0.051211869617392915
11,43,2,-0.020511021322026483
11,43,3,-0.009952913210469724
11,45,1,0.201911593993803
11,45,2,-0.08528608131507458
11,45,3,-0.016452930888140236
11,46,1,0.14868573458558654
11,46,2,0.04370104142209108
11,46,3,0.017233481904726594
11,48,1,-0.020757777951660197
11,48,3,-0.004511629970243533
11,49,1,0.09820524002506681
11,49,2,0.038445462406910186
11,52,1,0.04935574895243434
11,52,2,-0.01956071407021957
11,52,3,-0.005806971732709121
11,53,1,0.0501807750326446
11,53,2,0.012515224448598447
11,53,3,0.012896182835821746
11,54,1,0.05692719269192004
11,54,2,0.01923149903222142
11,54,3,0.008870905542166104
11,55,1,0.030919218979113414
11,55,2,0.02092229134522071
11,55,3,-0.00981524655117861
11,57,1,0.10645700802540203
11,57,2,-0.01259797337343067
11,57,3,0.057302101937471255
11,60,1,0.04322935084843164
12,13,1,0.06960161156947885
12,13,2,-0.0005289144903603979
12,23,1,0.013331345815365228
12,24,1,0.11177660153418739
12,24,2,0.012655417760092404
12,25,1,0.10394383776254212
12,25,2,0.04167842234329585
12,26,1,-0.02421098944578287
12,27,1,-0.004852623111584822
12,27,2,0.029839851466959243
12,28,1,0.11295031027563059
12,28,2,-0.01636752007307375
12,32,1,-0.166199904699293
12,32,2,0.006986194363772867
12,33,1,0.08861151548418682
12,33,2,0.022005120273601537
12,37,1,0.13462025575848388
12,42,1,0.01416814569206448
12,42,2,-0.011309045812377863
12,43,1,-0.12622046205747323
12,43,2,0.016433817697999325
12,45,1,0.09520023299241794
12,45,2,0.01037040284228618
12,46,1,0.013768254659344399
12,46,2,-0.01293593728959983
12,48,1,0.03990432141340301
12,49,1,-0.02253752474679703
12,49,2,-0.008082028348401903
12,52,1,0.0571076624023095
12,52,2,0.051755206329380916
12,53,1,-0.00989731082509655
12,53,2,0.01680373655756353
12,54,1,-0.10746499614915515
12,54,2,-0.009186118620479947
12,55,1,-0.025832472406815132
12,55,2,0.04343344134807347
12,57,1,0.10263628074965013
12,57,2,0.007924229741427766
12,60,1,-0.029478263097916034
13,23,1,-0.012313695559942297
